Scraped_URL,Article,Price,Type,date,Bedrooms,Bathrooms,Surface,Neighborhood,City
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Superbe villa vue sur mer à Marina Blanca,4400000,Villa,2025-04-02,4,3,250,Dar Bouazza,Casablanca
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,VILLA D'EXCEPTION EN VENTE CALIFORNIE,18500000,Villa,2025-04-02,5,6,1154,indéfini,Casablanca
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Villa de Luxe au Jardin de l'Océan Dar Bouazza,11300000,Villa,2025-04-02,5,4,780,Dar Bouazza,Casablanca
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Villa avec piscine et grand jardin.,4750000,Villa,2025-04-02,3,2,400,Dar Bouazza,Casablanca
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Luxueuse villa contemporaine avec vue sur golf,9750000,Villa,2025-04-02,4,3,600,Dar Bouazza,Casablanca
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Élégante villa contemporaine avec piscine.,3500000,Villa,2025-04-02,4,2,350,Dar Bouazza,Casablanca
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Magnifique villa rénovée à vendre en résidence,3500000,Villa,2025-04-02,3,3,307,Dar Bouazza,Casablanca
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,"Villa moderne, en résidence sécurisée",7400000,Villa,2025-04-02,4,3,400,Dar Bouazza,Casablanca
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Villa haut standing 4 chambres piscine,7400000,Villa,2025-04-02,4,3,440,Dar Bouazza,Casablanca
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Villa à vendre au quartier Laymoun,7500000,Villa,2025-04-02,5,4,424,Laymoune,Casablanca
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,GROS POTENTIEL,7800000,Villa,2025-04-02,4,3,439,CIL,Casablanca
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Appartement lumineux en vente à Guéliz,2000000,Villa,2025-04-02,2,2,102,Guéliz,Marrakech
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,HAVRE DE PAIX,16000000,Villa,2025-04-02,3,3,1600,Oasis,Casablanca
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Appartement F2 en vente à Marrakech,1100000,Appartement,2025-04-02,2,1,56,Hivernage,Marrakech
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,Villa à rénover en vente dans une impasses au C.I.L  440 m²,9500000,Villa,2025-04-02,4,2,440,CIL,Casablanca
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=1,"Racine, Appartement en vente proche du vélodrome 3 CH",2950000,Appartement,2025-04-02,3,2,168,Racine,Casablanca
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=2,Superbe Villa à Mohammedia - Opportunité Unique à 3 300 000 DH !,3300000,Villa,2025-04-02,4,2,189,La Colline,Mohammedia
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=2,À VENDRE : Superbe Villa 3 Niveaux avec Piscine à Mohammedia,4300000,Villa,2025-04-02,5,4,310,Quartier Monica,Mohammedia
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=2,À VENDRE : Superbe Villa à Louzia – Opportunité Rare !,2300000,Villa,2025-04-02,5,3,216,Autre,Mohammedia
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=2,À VENDRE : Magnifique Villa Bien Située - Occasion à Ne Pas Rater !,4200000,Villa,2025-04-02,5,3,300,La Colline,Mohammedia
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=2,Appartement sans vis à vis en vente à Hassan,2850000,Appartement,2025-04-02,4,2,168,Hassan,Rabat
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=2,Vente Appartement 5 pièces de 400 m2 à Casablanca,5800000,Appartement,2025-04-02,3,3,400,Centre Ville Casablanca,Casablanca
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=2,Villa moderne à vendre située à Souissi Rabat,20000,Villa,2025-04-02,4,2,1500,Souissi,Rabat
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=2,Villa moderne à vendre à Elmachrik Souissi Rabat,23000000,Villa,2025-04-02,4,3,2000,Souissi,Rabat
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=2,SUPER DEAL...,2800000,Appartement,2025-04-02,3,3,170,Racine,Casablanca
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=2,villa en vente à hay Riad,8500000,Villa,2025-04-02,5,2,550,Hay Riad,Rabat
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=2,Vente Villa 12 pièces de 288 m2 à Marrakech,3100000,Villa,2025-04-02,7,3,288,Assif,Marrakech
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=2,Vente Villa 9 pièces de 310 m2 à Marrakech,3000000,Villa,2025-04-02,5,4,310,Azzouzia,Marrakech
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=2,Joli Appartement en vente dans la Palmeraie,1450000,Villa,2025-04-02,2,2,96,Palmeraie,Marrakech
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=2,Duplex 94 m² à vendre à Gueliz Marrakech,950000,Duplex,2025-04-02,2,2,94,Guéliz,Marrakech
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=2,Appartement à vendre 70 m² Guéliz Marrakech,1050000,Appartement,2025-04-02,3,2,70,Guéliz,Marrakech
https://www.sarouty.ma/fr/recherche?c=1&fu=0&ob=nd&page=2,COUP DE COEUR,7500000,Villa,2025-04-02,4,3,450,Ain Diab,Casablanca
